ID	a1	a2	a3	a4	a5	main-class	main-class-proba	class-1-proba	class-2-proba	class-3-proba	class-4-proba	class-5-proba	class-6-proba	class-7-proba	class-8-proba
58	104	36	male	d	a	4	0.693	0.0	0.0	0.307	0.693	0.0	0.0	0.0	0.0
59	104	43	male	d	a	3	0.985	0.0	0.004	0.985	0.011	0.0	0.0	0.0	0.0
60	123	35	female	i	a	4	0.884	0.0	0.0	0.116	0.884	0.0	0.0	0.0	0.0
61	103	43	female	d	a	3	0.962	0.0	0.004	0.962	0.034	0.0	0.0	0.0	0.0
62	109	43	female	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63	99	61	female	d	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
64	100	47	female	g	a	3	0.841	0.0	0.159	0.841	0.0	0.0	0.0	0.0	0.0
65	100	62	female	d	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
66	107	40	female	c	a	3	0.869	0.0	0.0	0.869	0.131	0.0	0.0	0.0	0.0
67	70	18	female	b	b	5	0.985	0.0	0.0	0.0	0.0	0.985	0.0	0.0	0.014
68	91	30	female	d	a	7	0.998	0.0	0.0	0.0	0.001	0.0	0.0	0.998	0.0
69	117	43	female	c	a	3	0.993	0.0	0.004	0.993	0.003	0.0	0.0	0.0	0.0
70	115	57	female	c	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
71	93	43	female	d	a	3	0.885	0.0	0.006	0.885	0.109	0.0	0.0	0.0	0.0
72	103	30	female	c	a	7	0.987	0.0	0.0	0.012	0.001	0.0	0.0	0.987	0.0
73	99	57	female	d	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
74	115	36	female	a	a	3	0.672	0.0	0.0	0.672	0.328	0.0	0.0	0.0	0.0
75	104	38	female	c	a	3	0.547	0.0	0.0	0.547	0.453	0.0	0.0	0.0	0.0
76	116	47	female	d	a	3	0.799	0.0	0.201	0.799	0.0	0.0	0.0	0.0	0.0
77	94	51	female	a	a	2	0.942	0.0	0.942	0.058	0.0	0.0	0.0	0.0	0.0
78	114	43	female	g	a	3	0.997	0.0	0.003	0.997	0.0	0.0	0.0	0.0	0.0
79	113	18	female	d	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
80	119	57	female	c	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
81	114	48	female	c	a	3	0.623	0.0	0.377	0.623	0.0	0.0	0.0	0.0	0.0
82	108	27	female	c	a	7	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
83	97	46	female	a	a	3	0.926	0.0	0.073	0.926	0.0	0.0	0.0	0.0	0.0
84	83	28	female	b	b	8	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999
85	103	43	female	d	a	3	0.962	0.0	0.004	0.962	0.034	0.0	0.0	0.0	0.0
86	104	64	female	d	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
87	97	18	female	d	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
88	109	69	female	d	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
89	90	33	female	d	a	4	0.942	0.0	0.0	0.033	0.942	0.0	0.0	0.024	0.0
90	114	28	female	e	c	1	0.998	0.998	0.0	0.0	0.0	0.0	0.0	0.002	0.0
91	99	38	female	d	a	4	0.842	0.0	0.0	0.158	0.842	0.0	0.0	0.0	0.0
92	94	35	female	c	a	4	0.867	0.0	0.0	0.133	0.867	0.0	0.0	0.0	0.0
93	86	28	female	d	a	7	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
94	93	35	female	c	a	4	0.883	0.0	0.0	0.117	0.883	0.0	0.0	0.0	0.0
95	91	28	female	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96	109	40	female	i	a	4	0.648	0.0	0.0	0.351	0.648	0.0	0.0	0.0	0.0
97	91	28	female	d	a	7	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
98	106	28	female	e	c	1	0.998	0.998	0.0	0.0	0.0	0.0	0.0	0.002	0.0
99	109	43	female	c	a	3	0.991	0.0	0.004	0.991	0.005	0.0	0.0	0.0	0.0
100	111	51	female	d	a	2	0.939	0.0	0.939	0.061	0.0	0.0	0.0	0.0	0.0
101	86	40	female	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102	107	18	female	a	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
103	103	28	female	b	b	8	0.997	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.997
104	100	18	female	a	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
105	101	38	female	d	a	4	0.809	0.0	0.0	0.191	0.809	0.0	0.0	0.0	0.0
106	97	36	female	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
107	105	46	female	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
108	98	37	female	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
109	111	18	female	d	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
110	88	57	female	a	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
111	123	28	female	d	a	7	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
112	98	33	female	d	a	4	0.867	0.0	0.0	0.098	0.867	0.0	0.0	0.035	0.0
113	94	43	female	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
114	109	28	female	d	a	7	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
115	70	18	female	b	b	5	0.985	0.0	0.0	0.0	0.0	0.985	0.0	0.0	0.014
116	75	33	female	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
117	72	18	female	c	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
118	70	18	female	f	c	5	0.998	0.001	0.0	0.0	0.0	0.998	0.0	0.0	0.0
119	70	18	female	b	b	5	0.985	0.0	0.0	0.0	0.0	0.985	0.0	0.0	0.014
120	70	18	female	b	b	5	0.985	0.0	0.0	0.0	0.0	0.985	0.0	0.0	0.014
121	70	18	female	b	b	5	0.985	0.0	0.0	0.0	0.0	0.985	0.0	0.0	0.014
122	85	18	female	b	b	5	0.987	0.0	0.0	0.0	0.0	0.987	0.0	0.0	0.013
123	108	28	female	e	c	1	0.998	0.998	0.0	0.0	0.0	0.0	0.0	0.002	0.0
124	75	28	female	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
125	103	38	female	d	a	4	0.773	0.0	0.0	0.227	0.773	0.0	0.0	0.0	0.0
126	122	38	female	g	a	3	0.989	0.0	0.0	0.989	0.011	0.0	0.0	0.0	0.0
127	110	40	female	c	a	3	0.895	0.0	0.0	0.895	0.105	0.0	0.0	0.0	0.0
128	107	40	male	c	a	3	0.95	0.0	0.0	0.95	0.05	0.0	0.0	0.0	0.0
129	104	75	male	g	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
130	70	58	male	d	a	2	0.997	0.0	0.997	0.0	0.0	0.0	0.0	0.0	0.002
131	103	43	male	b	b	8	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999
132	95	43	male	c	a	3	0.987	0.0	0.005	0.987	0.008	0.0	0.0	0.0	0.0
133	126	61	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
134	118	71	male	c	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
135	115	27	male	c	a	7	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
136	89	43	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
137	113	61	male	g	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
138	85	37	male	c	a	4	0.877	0.0	0.0	0.122	0.877	0.0	0.0	0.0	0.0
139	95	43	male	c	a	3	0.987	0.0	0.005	0.987	0.008	0.0	0.0	0.0	0.0
140	109	57	male	g	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
141	111	69	male	c	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
142	116	75	male	c	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
143	90	43	male	h	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
144	90	28	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
145	82	31	male	b	b	8	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999
146	117	28	male	h	c	1	0.996	0.996	0.0	0.0	0.0	0.0	0.0	0.004	0.0
147	71	40	male	h	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
148	104	69	male	j	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
149	86	18	male	f	c	5	0.994	0.006	0.0	0.0	0.0	0.994	0.0	0.0	0.0
150	79	46	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151	80	65	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
152	99	18	male	c	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
153	86	61	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
154	116	18	male	g	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
155	124	65	male	c	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
156	98	28	male	b	b	8	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999
157	101	35	male	d	a	4	0.773	0.0	0.0	0.227	0.773	0.0	0.0	0.0	0.0
158	87	43	male	b	b	8	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999
159	97	40	male	g	a	3	0.993	0.0	0.0	0.993	0.007	0.0	0.0	0.0	0.0
160	120	43	male	g	a	3	0.997	0.0	0.003	0.997	0.0	0.0	0.0	0.0	0.0
161	103	43	male	c	a	3	0.993	0.0	0.004	0.993	0.003	0.0	0.0	0.0	0.0
162	107	40	male	c	a	3	0.95	0.0	0.0	0.95	0.05	0.0	0.0	0.0	0.0
163	105	57	male	i	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
164	99	37	male	c	c	1	0.793	0.793	0.0	0.096	0.11	0.0	0.0	0.0	0.0
165	103	28	male	c	c	1	0.611	0.611	0.0	0.0	0.0	0.0	0.0	0.389	0.0
166	101	28	male	a	a	7	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
167	102	18	female	d	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
168	105	18	female	c	c	6	0.916	0.001	0.0	0.0	0.0	0.082	0.916	0.0	0.0
169	70	18	female	f	c	5	0.998	0.001	0.0	0.0	0.0	0.998	0.0	0.0	0.0
170	101	43	female	g	a	3	0.996	0.0	0.003	0.996	0.0	0.0	0.0	0.0	0.0
171	90	42	female	c	c	1	0.893	0.893	0.0	0.085	0.021	0.0	0.0	0.0	0.0
172	85	43	female	c	a	3	0.873	0.0	0.009	0.873	0.117	0.0	0.0	0.0	0.0
173	104	18	female	c	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
174	87	18	female	c	c	6	0.754	0.002	0.0	0.0	0.0	0.244	0.754	0.0	0.0
175	85	37	female	c	a	4	0.954	0.0	0.0	0.046	0.954	0.0	0.0	0.0	0.0
176	102	42	female	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
177	94	37	female	d	a	4	0.943	0.0	0.0	0.057	0.943	0.0	0.0	0.0	0.0
178	93	37	female	c	a	4	0.838	0.0	0.0	0.162	0.838	0.0	0.0	0.0	0.0
179	99	37	female	g	a	3	0.905	0.0	0.0	0.905	0.095	0.0	0.0	0.0	0.0
180	103	38	female	c	a	3	0.522	0.0	0.0	0.522	0.478	0.0	0.0	0.0	0.0
181	89	18	female	d	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
182	92	37	female	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
183	109	43	female	c	a	3	0.991	0.0	0.004	0.991	0.005	0.0	0.0	0.0	0.0
184	91	18	female	d	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
185	109	58	female	c	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
186	105	57	female	a	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
187	105	18	female	c	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
188	90	69	female	d	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
189	99	69	female	g	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
190	110	37	female	c	a	3	0.564	0.0	0.0	0.564	0.436	0.0	0.0	0.0	0.0
191	88	37	female	c	a	4	0.922	0.0	0.0	0.078	0.922	0.0	0.0	0.0	0.0
192	101	66	female	c	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
193	91	18	female	f	c	5	0.996	0.003	0.0	0.0	0.0	0.996	0.0	0.0	0.0
194	78	18	female	c	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
195	118	65	female	g	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
196	100	28	female	b	b	8	0.998	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.998
197	100	18	female	e	c	5	0.991	0.007	0.0	0.0	0.0	0.991	0.002	0.0	0.0
198	85	57	female	c	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
199	106	61	female	g	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
200	97	18	female	f	c	5	0.995	0.004	0.0	0.0	0.0	0.995	0.001	0.0	0.0
201	92	18	female	f	c	5	0.996	0.003	0.0	0.0	0.0	0.996	0.0	0.0	0.0
202	102	38	female	b	b	8	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999
203	86	18	female	f	c	5	0.997	0.003	0.0	0.0	0.0	0.997	0.0	0.0	0.0
204	78	46	female	c	a	3	0.65	0.006	0.335	0.65	0.006	0.0	0.0	0.0	0.002
205	100	18	female	f	c	5	0.994	0.005	0.0	0.0	0.0	0.994	0.002	0.0	0.0
206	104	61	male	c	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
207	70	31	male	d	a	7	0.939	0.0	0.0	0.0	0.057	0.0	0.0	0.939	0.003
208	107	75	male	c	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
209	114	37	male	c	a	3	0.833	0.0	0.0	0.833	0.167	0.0	0.0	0.0	0.0
210	103	31	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
211	115	37	male	d	a	3	0.589	0.0	0.0	0.589	0.411	0.0	0.0	0.0	0.0
212	106	57	male	c	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
213	114	61	male	c	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
214	90	58	male	c	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
215	103	37	male	c	a	3	0.664	0.0	0.0	0.664	0.336	0.0	0.0	0.0	0.0
216	92	58	male	a	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
217	113	37	male	g	a	3	0.99	0.0	0.0	0.99	0.01	0.0	0.0	0.0	0.0
218	92	37	male	d	a	4	0.886	0.0	0.0	0.114	0.886	0.0	0.0	0.0	0.0
219	108	37	male	g	a	3	0.986	0.0	0.0	0.986	0.014	0.0	0.0	0.0	0.0
220	96	18	male	a	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
221	70	18	male	a	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
222	112	75	male	c	a	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
223	106	28	male	c	a	7	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
224	91	37	male	c	a	4	0.709	0.0	0.0	0.291	0.709	0.0	0.0	0.0	0.0
225	96	18	male	e	c	5	0.986	0.013	0.0	0.0	0.0	0.986	0.0	0.0	0.0
226	70	18	male	b	b	5	0.973	0.0	0.0	0.0	0.0	0.973	0.0	0.0	0.027
227	109	57	male	c	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
228	74	37	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
229	99	43	male	a	a	3	0.993	0.0	0.003	0.993	0.003	0.0	0.0	0.0	0.0
230	107	37	male	c	a	3	0.744	0.0	0.0	0.744	0.256	0.0	0.0	0.0	0.0
231	90	37	male	d	a	4	0.914	0.0	0.0	0.085	0.914	0.0	0.0	0.0	0.0
232	78	31	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
233	70	37	male	b	b	8	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999
234	88	58	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
235	93	18	male	e	c	5	0.987	0.012	0.0	0.0	0.0	0.987	0.0	0.0	0.0
236	88	43	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
237	108	58	male	c	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
238	101	57	male	g	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
239	98	28	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
240	103	35	male	c	a	3	0.575	0.0	0.0	0.575	0.425	0.0	0.0	0.0	0.0
241	73	37	male	c	a	4	0.992	0.0	0.0	0.007	0.992	0.0	0.0	0.0	0.0
242	102	37	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
243	93	37	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
244	93	18	male	f	c	5	0.992	0.008	0.0	0.0	0.0	0.992	0.0	0.0	0.0
245	101	61	male	c	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
246	100	37	male	h	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
247	70	31	male	b	b	8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
248	102	18	male	f	c	5	0.988	0.011	0.0	0.0	0.0	0.988	0.0	0.0	0.0
249	113	28	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
250	91	37	male	d	a	4	0.901	0.0	0.0	0.099	0.901	0.0	0.0	0.0	0.0
251	109	37	male	d	a	4	0.518	0.0	0.0	0.482	0.518	0.0	0.0	0.0	0.0
252	80	58	male	b	b	8	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999
253	118	18	male	c	c	6	0.924	0.004	0.0	0.0	0.0	0.072	0.924	0.0	0.0
254	70	58	male	b	b	8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
255	88	37	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
256	72	37	male	e	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
257	81	58	male	c	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
258	70	37	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
259	97	18	male	f	c	5	0.99	0.009	0.0	0.0	0.0	0.99	0.0	0.0	0.0
260	87	40	male	c	a	3	0.574	0.0	0.0	0.574	0.425	0.0	0.0	0.0	0.0
261	99	18	male	e	c	5	0.984	0.015	0.0	0.0	0.0	0.984	0.0	0.0	0.0
262	81	18	male	b	b	5	0.975	0.0	0.0	0.0	0.0	0.975	0.0	0.0	0.025
263	84	18	male	e	c	5	0.991	0.009	0.0	0.0	0.0	0.991	0.0	0.0	0.0
264	90	58	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
265	95	37	male	c	a	4	0.572	0.0	0.0	0.428	0.572	0.0	0.0	0.0	0.0
266	84	61	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
267	104	40	male	h	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
268	105	31	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
269	107	58	male	a	a	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
270	84	40	male	f	c	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
271	70	18	male	h	c	5	0.985	0.015	0.0	0.0	0.0	0.985	0.0	0.0	0.0
272	99	37	male	g	a	3	0.965	0.0	0.0	0.965	0.035	0.0	0.0	0.0	0.0
273	87	18	male	c	a	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0
274	81	18	male	b	b	5	0.975	0.0	0.0	0.0	0.0	0.975	0.0	0.0	0.025
275	103	43	male	c	a	3	0.993	0.0	0.004	0.993	0.003	0.0	0.0	0.0	0.0
