ID	a3	a4	a5
231	male	d	a
232	male	e	c
233	male	b	b
234	male	f	c
235	male	e	c
236	male	f	c
237	male	c	a
238	male	g	a
239	male	f	c
240	male	c	a
241	male	c	a
242	male	e	c
243	male	f	c
244	male	f	c
245	male	c	a
246	male	h	c
247	male	b	b
248	male	f	c
249	male	e	c
250	male	d	a
251	male	d	a
252	male	b	b
253	male	c	c
254	male	b	b
255	male	e	c
256	male	e	c
257	male	c	a
258	male	f	c
259	male	f	c
260	male	c	a
261	male	e	c
262	male	b	b
263	male	e	c
264	male	f	c
265	male	c	a
266	male	f	c
267	male	h	c
268	male	f	c
269	male	a	a
270	male	f	c
271	male	h	c
272	male	g	a
273	male	c	a
274	male	b	b
275	male	c	a
276	male	c	a
277	male	c	a
278	male	b	b
279	male	c	c
280	male	b	b
281	male	e	c
282	male	c	a
283	male	b	b
284	male	e	c
285	male	e	c
286	male	e	c
287	male	a	a
288	male	e	c
289	male	e	c
290	male	h	c
291	male	e	c
292	male	h	c
293	male	e	c
294	male	d	a
295	male	g	a
296	male	c	a
297	male	e	c
298	male	d	a
299	male	i	a
300	female	d	a
301	female	g	a
302	female	f	c
303	female	d	a
304	female	d	a
305	female	c	a
306	female	c	a
307	female	c	a
308	female	c	a
309	female	b	b
310	female	c	a
311	female	e	c
312	female	c	a
313	female	d	a
314	female	e	c
315	female	c	a
316	female	j	a
317	female	c	a
318	female	c	a
319	female	g	a
320	female	d	a
321	female	c	a
322	female	g	a
323	female	c	a
324	female	c	a
325	female	a	a
326	female	c	a
327	female	d	a
328	female	c	a
329	female	c	a
330	female	c	a
331	female	c	a
332	female	c	a
333	female	b	b
334	female	g	a
335	female	c	a
336	female	e	c
337	female	d	a
338	female	e	c
339	female	g	a
340	female	c	a
341	female	c	a
342	female	d	a
343	female	d	a
344	female	c	a
345	female	g	a
346	female	c	a
347	female	c	a
348	female	g	a
349	female	c	a
350	female	j	a
351	female	a	a
352	female	d	a
353	female	i	a
354	female	b	b
355	female	d	a
356	female	c	a
357	female	c	a
358	female	g	a
359	female	a	a
360	female	b	b
361	female	i	a
362	female	f	c
363	female	c	a
364	female	i	a
365	female	g	a
366	female	c	a
367	female	c	a
368	female	h	c
369	female	f	c
370	female	e	c
371	female	a	a
372	female	a	a
373	female	c	a
374	female	e	c
375	female	d	a
376	female	d	a
377	female	f	c
378	female	c	a
379	female	e	c
380	female	c	a
381	female	f	c
382	female	c	a
383	female	e	c
384	female	f	c
385	female	c	a
386	female	e	c
387	female	e	c
388	female	a	a
389	female	e	c
390	female	e	c
391	female	f	c
392	female	c	a
393	female	c	a
394	female	c	a
395	female	c	a
396	female	d	a
397	female	c	a
398	female	i	a
399	female	a	a
400	female	d	a
401	female	d	a
402	female	c	a
403	female	g	a
404	female	g	a
405	male	g	a
406	male	d	a
407	male	c	a
408	male	f	c
409	male	c	a
410	female	c	a
411	female	c	a
412	female	a	a
413	female	c	a
414	female	e	c
415	female	f	c
416	male	g	a
417	male	g	a
418	male	c	a
419	male	c	a
420	male	h	c
421	male	g	a
422	male	c	a
423	female	c	a
424	female	c	a
425	female	c	a
426	female	c	a
427	female	c	a
428	female	d	a
429	female	c	a
430	female	g	a
431	female	d	a
432	male	h	c
433	male	g	a
434	male	g	a
435	male	g	a
436	male	j	a
437	male	e	c
438	male	c	a
439	male	c	a
440	male	c	a
441	male	d	a
442	male	c	a
443	male	j	a
444	male	c	a
445	male	e	c
446	male	g	a
447	male	c	a
448	male	g	a
449	female	g	a
450	female	f	c
451	female	c	a
452	female	c	a
453	female	c	a
454	female	c	a
455	female	g	a
456	female	c	a
457	female	e	c
458	female	g	a
459	male	j	a
460	male	g	a
461	male	g	a
462	male	g	a
463	male	c	a
464	male	g	a
465	male	g	a
466	male	g	a
467	female	g	a
