ID	a2	a3	a8	a14	a15
63	20.42	0.835	1.585	0	0
64	26.67	4.25	4.29	120	0
65	34.17	1.54	1.54	520	50000
66	36.0	1.0	2.0	0	456
67	25.5	0.375	0.25	260	15108
68	19.42	6.5	1.46	80	2954
69	35.17	25.125	1.625	515	500
70	32.33	7.5	1.585	420	0
71	38.58	5.0	13.5	980	0
72	44.25	0.5	10.75	400	0
73	44.83	7.0	1.625	160	2
74	20.67	5.29	0.375	160	0
75	34.08	6.5	0.125	443	0
76	19.17	0.585	0.585	160	0
77	21.67	1.165	2.5	180	20
78	21.5	9.75	0.25	140	0
79	49.58	19.0	0.0	94	0
80	27.67	1.5	2.0	368	0
81	39.83	0.5	0.25	288	0
82	27.25	0.625	0.455	200	0
83	37.17	4.0	5.0	280	0
84	25.67	2.21	4.0	188	0
85	34.0	4.5	1.0	240	0
86	49.0	1.5	0.0	100	27
87	62.5	12.75	5.0	112	0
88	31.42	15.5	0.5	120	0
89	52.33	1.375	9.46	200	100
90	28.75	1.5	1.5	0	225
91	28.58	3.54	0.5	171	0
92	23.0	0.625	0.125	180	1
93	22.5	11.0	3.0	268	0
94	28.5	1.0	1.0	167	500
95	37.5	1.75	0.25	164	400
96	35.25	16.5	4.0	80	0
97	18.67	5.0	0.375	0	38
98	25.0	12.0	2.25	120	5
99	27.83	4.0	5.75	75	0
100	54.83	15.5	0.0	152	130
101	28.75	1.165	0.5	280	0
102	25.0	11.0	4.5	120	0
103	40.92	2.25	10.0	176	0
104	19.75	0.75	0.795	140	5
105	29.17	3.5	3.5	329	0
106	24.5	1.04	0.5	180	147
107	24.58	12.5	0.875	260	0
108	33.75	0.75	1.0	212	0
109	20.67	1.25	1.375	140	210
110	25.42	1.125	1.29	200	0
111	37.75	7.0	11.5	300	5
112	52.5	6.5	6.29	0	11202
113	57.83	7.04	14.0	360	1332
114	20.75	10.335	0.335	80	50
115	39.92	6.21	0.04	200	300
116	25.67	12.5	1.21	140	258
117	24.75	12.5	1.5	120	567
118	44.17	6.665	7.375	0	0
119	23.5	9.0	8.5	120	0
120	34.92	5.0	7.5	0	1000
121	47.67	2.5	2.5	410	2510
122	22.75	11.0	2.5	100	809
123	34.42	4.25	3.25	274	610
124	28.42	3.5	0.835	280	0
125	67.75	5.5	13.0	0	0
126	20.42	1.835	2.25	100	150
127	47.42	8.0	6.5	375	51100
128	36.25	5.0	2.5	0	367
129	32.67	5.5	5.5	408	1000
130	48.58	6.5	6.0	350	0
131	39.92	0.54	0.5	200	1000
132	33.58	2.75	4.25	204	0
133	18.83	9.5	1.625	40	600
134	26.92	13.5	5.0	0	5000
135	31.25	3.75	0.625	181	0
136	56.5	16.0	0.0	0	247
137	43.0	0.29	1.75	100	375
138	22.33	11.0	2.0	80	278
139	27.25	1.665	5.085	399	827
140	32.83	2.5	2.75	160	2072
141	23.25	1.5	2.375	0	582
142	40.33	7.54	8.0	0	2300
143	30.5	6.5	4.0	0	3065
144	52.83	15.0	5.5	0	2200
145	46.67	0.46	0.415	440	6
146	58.33	10.0	4.0	0	1602
147	37.33	6.5	4.25	93	0
148	23.08	2.5	1.085	60	2184
149	32.75	1.5	5.5	0	0
150	21.67	11.5	0.0	0	0
151	28.5	3.04	2.54	70	0
152	68.67	15.0	0.0	0	3376
153	28.0	2.0	4.165	181	0
154	34.08	0.08	0.04	280	2000
155	27.67	2.0	1.0	140	7544
156	44.0	2.0	1.75	0	15
157	25.08	1.71	1.665	395	20
158	32.0	1.75	0.04	393	0
159	60.58	16.5	11.0	21	10561
160	40.83	10.0	1.75	29	837
161	19.33	9.5	1.0	60	400
162	32.33	0.54	0.04	440	11177
163	36.67	3.25	9.0	102	639
164	37.5	1.125	1.5	431	0
165	25.08	2.54	0.25	370	0
166	41.33	0.0	15.0	0	0
167	56.0	12.5	8.0	24	2028
168	49.83	13.585	8.5	0	0
169	22.67	10.5	1.335	100	0
170	27.0	1.5	0.375	260	1065
171	25.0	12.5	3.0	20	0
172	26.08	8.665	1.415	160	150
173	18.42	9.25	1.21	60	540
174	20.17	8.17	1.96	60	158
175	47.67	0.29	15.0	0	15000
176	21.25	2.335	0.5	80	0
177	20.67	3.0	0.165	100	6
178	57.08	19.5	5.5	0	3000
179	22.42	5.665	2.585	129	3257
180	48.75	8.5	12.5	181	1655
181	40.0	6.5	3.5	0	500
182	40.58	5.0	5.0	0	3065
183	28.67	1.04	2.5	300	1430
184	33.08	4.625	1.625	0	0
185	21.33	10.5	3.0	0	0
186	42.0	0.205	5.125	400	0
187	41.75	0.96	2.5	510	600
188	22.67	1.585	3.085	80	0
189	34.5	4.04	8.5	195	0
190	28.25	5.04	1.5	144	7
191	33.17	3.165	3.165	380	0
192	48.17	7.625	15.5	0	790
193	27.58	2.04	2.0	370	560
194	22.58	10.04	0.04	60	396
195	24.08	0.5	1.25	0	678
196	41.33	1.0	2.25	0	300
197	20.75	10.25	0.71	49	0
198	36.33	2.125	0.085	50	1187
199	35.42	12.0	14.0	0	6590
200	28.67	9.335	5.665	381	168
201	35.17	2.5	4.5	150	1270
202	39.5	4.25	6.5	117	1210
203	39.33	5.875	10.0	399	0
204	24.33	6.625	5.5	100	0
205	60.08	14.5	18.0	0	1000
206	23.08	11.5	3.5	56	742
207	26.67	2.71	5.25	211	0
208	48.17	3.5	3.5	230	0
209	41.17	4.04	7.0	320	0
210	55.92	11.5	5.0	0	8851
211	53.92	9.625	8.665	0	0
212	18.92	9.25	1.0	80	500
213	50.08	12.54	2.29	156	0
214	65.42	11.0	20.0	22	0
215	17.58	9.0	1.375	0	0
216	18.83	9.54	0.085	100	0
217	37.75	5.5	0.125	228	0
218	23.25	4.0	0.25	160	0
219	18.08	5.5	0.5	80	0
220	22.5	8.46	2.46	164	0
221	19.67	0.375	2.0	80	0
222	22.08	11.0	0.665	100	0
223	25.17	3.5	0.625	0	7059
224	47.42	3.0	13.875	519	1704
225	33.5	1.75	4.5	253	857
226	27.67	13.75	5.75	487	500
227	58.42	21.0	10.0	0	6700
228	20.67	1.835	2.085	220	2503
229	26.17	0.25	0.0	0	0
230	21.33	7.5	1.415	80	9800
231	42.83	4.625	4.58	0	0
232	38.17	10.125	2.5	520	196
233	20.5	10.0	2.5	40	0
234	48.25	25.085	1.75	120	14
235	28.33	5.0	11.0	70	0
236	18.5	2.0	1.5	120	300
237	33.17	3.04	2.04	180	18027
238	45.0	8.5	14.0	88	2000
239	19.67	0.21	0.29	80	99
240	21.83	11.0	0.29	121	0
241	40.25	21.5	20.0	0	1200
242	41.42	5.0	5.0	470	0
243	17.83	11.0	1.0	0	3000
244	23.17	11.125	0.46	100	0
245	18.17	10.25	1.085	320	13
246	20.0	11.045	2.0	136	0
247	20.0	0.0	0.5	144	0
248	20.75	9.54	0.04	200	1000
249	24.5	1.75	0.165	132	0
250	32.75	2.335	5.75	292	0
251	52.17	0.0	0.0	0	0
252	48.17	1.335	0.335	0	120
253	20.42	10.5	0.0	154	32
254	50.75	0.585	0.0	145	0
255	17.08	0.085	0.04	140	722
256	18.33	1.21	0.0	100	0
257	32.0	6.0	1.25	272	0
258	59.67	1.54	0.125	260	0
259	18.0	0.165	0.21	200	40
260	32.33	2.5	1.25	280	0
261	18.08	6.75	0.04	140	0
262	38.25	10.125	0.125	160	0
263	30.67	2.5	2.25	340	0
264	18.58	5.71	0.54	120	0
265	19.17	5.415	0.29	80	484
266	18.17	10.0	0.165	340	0
267	16.25	0.835	0.085	200	0
268	21.17	0.875	0.25	280	204
269	23.92	0.585	0.125	240	1
270	17.67	4.46	0.25	80	0
271	16.5	1.25	0.25	108	98
272	23.25	12.625	0.125	0	5552
273	17.58	10.0	0.165	120	1
274	29.5	0.58	0.29	340	2803
275	18.83	0.415	0.165	200	1
276	21.75	1.75	0.0	160	0
277	23.0	0.75	0.5	320	0
278	18.25	10.0	1.0	120	1
279	25.42	0.54	0.165	272	444
280	35.75	2.415	0.125	220	1
281	16.08	0.335	0.0	160	126
282	31.92	3.125	3.04	200	4
283	69.17	9.0	4.0	70	6
284	32.92	2.5	1.75	720	0
285	16.33	2.75	0.665	80	21
286	22.17	12.125	3.335	180	173
287	57.58	2.0	6.5	0	10
288	18.25	0.165	0.25	280	0
289	23.42	1.0	0.5	280	0
290	15.92	2.875	0.085	120	0
291	24.75	13.665	1.5	280	1
292	48.75	26.335	0.0	0	0
293	23.5	2.75	4.5	160	25
294	18.58	10.29	0.415	80	0
295	27.75	1.29	0.25	140	0
296	31.75	3.0	0.0	160	20
297	24.83	4.5	1.0	360	6
298	19.0	1.75	2.335	112	6
299	16.33	0.21	0.125	200	1
300	18.58	10.0	0.415	80	42
301	16.25	0.0	0.25	60	0
302	23.0	0.75	0.5	320	0
303	21.17	0.25	0.25	280	204
304	17.5	22.0	0.0	450	100000
305	19.17	0.0	0.0	500	1
306	36.75	0.125	1.5	232	113
307	21.25	1.5	1.5	150	8
308	18.08	0.375	10.0	300	0
309	33.67	0.375	0.375	300	44
310	48.58	0.205	0.25	380	2732
311	33.67	1.25	1.165	120	0
312	29.5	1.085	1.0	280	13
313	30.17	1.085	0.04	170	179
314	34.83	2.5	3.0	200	0
315	33.25	2.5	2.5	0	2
316	34.08	2.5	1.0	460	16
317	25.25	12.5	1.0	180	1062
318	34.75	2.5	0.5	348	0
319	27.67	0.75	0.165	220	251
320	47.33	6.5	1.0	0	228
321	34.83	1.25	0.5	160	0
322	33.25	3.0	2.0	180	0
323	28.0	3.0	0.75	300	67
324	39.08	4.0	3.0	480	0
325	42.75	4.085	0.04	108	100
326	26.92	2.25	0.5	640	4000
327	33.75	2.75	0.0	180	0
328	38.92	1.75	0.5	300	2
329	62.75	7.0	0.0	0	12
330	26.75	4.5	2.5	200	1210
331	63.33	0.54	0.585	180	0
332	27.83	1.5	2.25	100	3
333	26.17	2.0	0.0	276	1
334	22.17	0.585	0.0	100	0
335	22.5	11.5	1.5	0	4000
336	30.75	1.585	0.585	0	0
337	36.67	2.0	0.25	221	0
338	16.0	0.165	1.0	320	1
339	41.17	1.335	0.165	168	0
340	19.5	0.165	0.04	380	0
341	32.42	3.0	0.165	120	0
342	36.75	4.71	0.0	160	0
343	30.25	5.5	5.5	100	0
344	23.08	2.5	0.085	100	4208
345	26.83	0.54	0.0	100	0
346	16.92	0.335	0.29	200	0
347	24.42	2.0	0.165	320	1300
348	42.83	1.25	13.875	352	112
349	22.75	6.165	0.165	220	1000
350	39.42	1.71	0.165	400	0
351	23.58	11.5	3.0	20	16
352	21.42	0.75	0.75	132	2
353	33.0	2.5	7.0	280	0
354	26.33	13.0	0.0	140	1110
355	45.0	4.585	1.0	240	0
356	26.25	1.54	0.125	100	0
357	20.83	0.5	1.0	260	0
358	28.67	14.5	0.125	0	286
359	20.67	0.835	2.0	240	0
360	34.42	1.335	0.125	440	4500
361	33.58	0.25	4.0	420	0
362	43.17	5.0	2.25	141	0
363	22.67	7.0	0.165	160	0
364	24.33	2.5	4.5	200	456
365	56.83	4.25	5.0	0	4
366	22.08	11.46	1.585	100	1212
367	34.0	5.5	1.5	60	0
368	22.58	1.5	0.54	120	67
369	21.17	0.0	0.5	0	0
370	26.67	14.585	0.0	178	0
371	22.92	0.17	0.085	0	0
372	15.17	7.0	1.0	600	0
373	39.92	5.0	0.21	550	0
374	27.42	12.5	0.25	720	0
375	24.75	0.54	1.0	120	1
376	41.17	1.25	0.25	0	195
377	33.08	1.625	0.54	0	0
378	29.83	2.04	0.04	128	1
379	23.58	0.585	0.125	120	87
380	26.17	12.5	1.25	0	17
381	31.0	2.085	0.085	300	0
382	20.75	5.085	0.29	140	184
383	28.92	0.375	0.29	220	140
384	51.92	6.5	3.085	73	0
385	22.67	0.335	0.75	160	0
386	34.0	5.085	1.085	480	0
387	69.5	6.0	0.0	0	0
388	19.58	0.665	1.0	2000	2
389	16.0	3.125	0.085	0	6
390	17.08	0.25	0.335	160	8
391	31.25	2.835	0.0	176	146
392	25.17	3.0	1.25	0	22
393	22.67	0.79	0.085	144	0
394	40.58	1.5	0.0	300	0
395	22.25	0.46	0.125	280	55
396	22.25	1.25	3.25	280	0
397	22.5	0.125	0.125	200	70
398	23.58	1.79	0.54	136	1
399	38.42	0.705	0.375	225	500
400	26.58	2.54	0.0	180	60
401	35.0	2.5	1.0	210	0
402	20.42	1.085	1.5	108	7
403	29.42	1.25	1.75	200	0
404	26.17	0.835	1.165	100	0
405	33.67	2.165	1.5	120	0
406	24.58	1.25	0.25	110	0
407	27.67	2.04	0.25	180	50
408	37.5	0.835	0.04	120	5
409	49.17	2.29	0.29	200	3
410	33.58	0.335	0.085	180	0
411	51.83	3.0	1.5	180	4
412	22.92	3.165	0.165	160	1058
413	21.83	1.54	0.085	356	0
414	25.25	1.0	0.5	200	0
415	58.58	2.71	2.415	320	0
416	19.0	0.0	0.0	45	1
417	19.58	0.585	0.0	350	769
418	53.33	0.165	0.0	62	27
419	27.17	1.25	0.0	92	300
420	25.92	0.875	0.375	174	3
421	23.08	0.0	1.0	0	0
422	39.58	5.0	0.0	17	1
423	30.58	2.71	0.125	80	0
424	17.25	3.0	0.04	160	40
425	17.67	0.0	0.0	86	0
426	16.5	0.125	0.165	132	0
427	27.33	1.665	0.0	340	1
428	31.25	1.125	0.0	96	19
429	20.0	7.0	0.5	0	0
430	39.5	1.625	1.5	0	316
431	36.5	4.25	3.5	454	50
432	52.42	1.5	3.75	0	350
433	36.17	18.125	0.085	320	3552
434	29.67	0.75	0.04	240	0
435	36.17	5.5	5.0	210	687
436	25.67	0.29	1.5	160	0
437	24.5	2.415	0.0	120	0
438	24.08	0.875	0.085	254	1950
439	21.92	0.5	0.125	360	0
440	36.58	0.29	0.0	200	18
441	23.0	1.835	0.0	200	53
442	27.58	3.0	2.79	280	10
443	31.08	3.085	2.5	160	41
444	30.42	1.375	0.04	0	33
445	22.08	2.335	0.75	180	0
446	16.33	4.085	0.415	120	0
447	21.92	11.665	0.085	320	5
448	21.08	4.125	0.04	140	100
449	17.42	6.5	0.125	60	100
450	19.17	4.0	1.0	360	1000
451	20.67	0.415	0.125	0	44
452	26.75	2.0	0.75	80	0
453	23.58	0.835	0.085	220	5
454	39.17	2.5	10.0	200	0
455	22.75	11.5	0.415	0	0
456	16.92	0.5	0.165	240	35
457	23.5	3.165	0.415	280	80
458	17.33	9.5	1.75	0	10
459	23.75	0.415	0.04	128	6
460	34.67	1.08	1.165	28	0
461	74.83	19.0	0.04	0	351
462	28.17	0.125	0.085	216	2100
463	24.5	13.335	0.04	120	475
464	18.83	3.54	0.0	180	1
465	47.25	0.75	2.75	333	892
466	24.17	0.875	4.625	520	2000
467	39.25	9.5	6.5	240	4607
468	20.5	11.835	6.0	340	0
469	18.83	4.415	3.0	240	0
470	19.17	9.5	1.5	120	2206
471	25.0	0.875	1.04	160	5860
472	20.17	9.25	1.665	40	28
473	25.75	0.5	1.46	312	0
474	20.42	7.0	1.625	200	1391
475	39.0	5.0	3.5	0	0
476	64.08	0.165	0.0	232	100
477	28.25	5.125	4.75	420	7
478	28.75	3.75	1.085	371	0
479	31.33	19.5	7.0	0	5000
480	18.92	9.0	0.75	88	591
481	24.75	3.0	1.835	0	500
482	30.67	12.0	2.0	220	19
483	21.0	4.79	2.25	80	300
484	13.75	4.0	1.75	120	1000
485	46.0	4.0	0.0	100	960
486	44.33	0.0	2.5	0	0
487	20.25	9.96	0.0	0	0
488	22.67	2.54	2.585	0	0
489	60.92	5.0	4.0	0	99
490	16.08	0.75	1.75	352	690
491	28.17	0.375	0.585	80	0
492	39.17	1.71	0.125	480	0
493	30.0	5.29	2.25	99	500
494	22.83	3.0	1.29	260	800
495	22.5	8.5	1.75	80	990
496	28.58	1.665	2.415	440	0
497	45.17	1.5	2.5	140	0
498	41.58	1.75	0.21	160	0
499	57.08	0.335	1.0	252	2197
500	55.75	7.08	6.75	100	50
501	43.25	25.21	0.21	760	90
502	25.33	2.085	2.75	360	1
503	24.58	0.67	1.75	400	0
504	43.17	2.25	0.75	560	0
505	40.92	0.835	0.0	130	1
506	31.83	2.5	7.5	523	0
507	33.92	1.585	0.0	320	0
508	24.92	1.25	0.0	80	0
509	35.25	3.165	3.75	680	0
510	34.25	1.75	0.25	163	0
511	19.42	1.5	2.0	100	20
512	42.75	3.0	1.0	0	200
513	19.67	10.0	0.835	140	0
514	36.33	3.79	1.165	200	0
515	30.08	1.04	0.5	132	28
516	44.25	11.0	1.5	0	0
517	23.58	0.46	2.625	208	347
518	23.92	1.5	1.875	200	327
519	33.17	1.0	0.75	340	4071
520	48.33	12.0	16.0	110	0
521	76.75	22.29	12.75	0	109
522	51.33	10.0	0.0	0	1249
523	34.75	15.0	5.375	0	134
524	38.58	3.335	4.0	383	1344
525	22.42	11.25	0.75	0	321
526	41.92	0.42	0.21	220	948
527	29.58	4.5	7.5	330	0
528	32.17	1.46	1.085	120	2079
529	51.42	0.04	0.04	0	3000
530	22.83	2.29	2.29	140	2384
531	25.0	12.33	3.5	400	458
532	26.75	1.125	1.25	0	5298
533	23.33	1.5	1.415	422	200
534	24.42	12.335	1.585	120	0
535	42.17	5.04	12.75	92	0
536	20.83	3.0	0.04	100	0
537	23.08	11.5	2.125	290	284
538	25.17	2.875	0.875	360	0
539	43.08	0.375	0.375	300	162
540	35.75	0.915	0.75	0	1583
541	59.5	2.75	1.75	60	58
542	21.0	3.0	1.085	160	1
543	21.92	0.54	0.04	840	59
544	65.17	14.0	0.0	0	1400
545	20.33	10.0	1.0	50	1465
546	32.25	0.165	3.25	432	8000
547	30.17	0.5	1.75	32	540
548	25.17	6.0	1.0	0	0
549	39.17	1.625	1.5	186	4700
550	39.08	6.0	1.29	108	1097
551	31.67	0.83	1.335	303	3290
552	41.0	0.04	0.04	560	0
553	48.5	4.25	0.125	225	0
554	32.67	9.0	5.25	154	0
555	28.08	15.0	0.0	0	13212
556	73.42	17.75	0.0	0	0
557	64.08	20.0	17.5	0	1000
558	51.58	15.0	8.5	0	0
559	26.67	1.75	1.0	160	5777
560	25.33	0.58	0.29	96	5124
561	30.17	6.5	3.125	330	1200
562	27.0	0.75	4.25	312	150
563	34.17	5.25	0.085	290	6
564	38.67	0.21	0.085	280	0
565	25.75	0.75	0.25	349	23
566	46.08	3.0	2.375	396	4159
567	21.5	6.0	2.5	80	918
568	20.5	2.415	2.0	200	3000
569	29.5	0.46	0.54	380	500
570	29.83	1.25	0.25	224	0
571	20.08	0.25	0.125	200	0
572	23.42	0.585	0.085	180	0
573	29.58	1.75	1.25	280	0
574	16.17	0.04	0.04	0	0
575	32.33	3.5	0.5	232	0
576	47.83	4.165	0.085	520	0
577	20.0	1.25	0.125	140	4
578	27.58	3.25	5.085	369	1
579	22.0	0.79	0.29	420	283
580	19.33	10.915	0.585	200	7
581	38.33	4.415	0.125	160	0
582	29.42	1.25	0.25	400	108
583	22.67	0.75	1.585	400	9
584	32.25	14.0	0.0	160	1
585	29.58	4.75	2.0	460	68
586	18.42	10.415	0.125	120	375
587	22.17	2.25	0.125	160	10
588	22.67	0.165	2.25	0	0
589	18.83	0.0	0.665	160	1
590	21.58	0.79	0.665	160	0
591	23.75	12.0	2.085	80	0
592	36.08	2.54	0.0	0	1000
593	29.25	13.0	0.5	228	0
594	19.58	0.665	1.665	220	5
595	22.92	1.25	0.25	120	809
596	27.25	0.29	0.125	272	108
597	38.75	1.5	0.0	76	0
598	32.42	2.165	0.0	120	0
599	23.75	0.71	0.25	240	4
600	18.17	2.46	0.96	160	587
601	40.92	0.5	0.5	130	0
602	19.5	9.585	0.79	80	350
603	28.58	3.625	0.25	100	0
604	35.58	0.75	1.5	231	0
605	34.17	2.75	2.5	232	200
606	31.58	0.75	3.5	320	0
607	52.5	7.0	3.0	0	0
608	36.17	0.42	0.29	309	2
609	37.33	2.665	0.165	0	501
610	20.83	8.5	0.165	0	351
611	24.08	9.0	0.25	0	0
612	25.58	0.335	3.5	340	0
613	35.17	3.75	0.0	0	200
614	48.08	3.75	1.0	100	2
615	15.83	7.625	0.125	0	160
616	22.5	0.415	0.335	144	0
617	21.5	11.5	0.5	100	68
618	23.58	0.83	0.415	200	11
619	21.08	5.0	0.0	0	0
620	25.67	3.25	2.29	416	21
621	38.92	1.665	0.25	0	390
622	15.75	0.375	1.0	120	18
623	28.58	3.75	0.25	40	154
624	22.25	9.0	0.085	0	0
625	29.83	3.5	0.165	216	0
626	23.5	1.5	0.875	160	0
627	32.08	4.0	1.5	120	0
628	31.08	1.5	0.04	160	0
629	31.83	0.04	0.04	0	0
630	21.75	11.75	0.25	180	0
631	17.92	0.54	1.75	80	5
632	30.33	0.5	0.085	252	0
633	51.83	2.04	1.5	120	1
634	47.17	5.835	5.5	465	150
635	25.83	12.835	0.5	0	2
636	50.25	0.835	0.5	240	117
637	37.33	2.5	0.21	260	246
638	41.58	1.04	0.665	240	237
639	30.58	10.665	0.085	129	3
640	19.42	7.25	0.04	100	1
641	17.92	10.21	0.0	0	50
642	20.08	1.25	0.0	0	0
643	19.5	0.29	0.29	280	364
644	27.83	1.0	3.0	176	537
645	17.08	3.29	0.335	140	2
646	36.42	0.75	0.585	240	3
647	40.58	3.29	3.5	400	0
648	21.08	10.085	1.25	260	0
649	22.67	0.75	2.0	200	394
650	25.25	13.5	2.0	200	1
651	17.92	0.205	0.04	280	750
652	35.0	3.375	8.29	0	0
