ID	a2	a3	a8	a14	a15	a1	a4	a5	a6	a7	a9	a10	a11	a12	a13
74	20.67	5.29	0.375	160	0	b	u	g	q	v	t	t	1	f	g
75	34.08	6.5	0.125	443	0	b	u	g	aa	v	t	f	0	t	g
76	19.17	0.585	0.585	160	0	a	y	p	aa	v	t	f	0	t	g
77	21.67	1.165	2.5	180	20	b	y	p	k	v	t	t	1	f	g
78	21.5	9.75	0.25	140	0	b	u	g	c	v	t	f	0	f	g
79	49.58	19.0	0.0	94	0	b	u	g	ff	ff	t	t	1	f	g
80	27.67	1.5	2.0	368	0	a	u	g	m	v	t	f	0	f	s
81	39.83	0.5	0.25	288	0	b	u	g	m	v	t	f	0	f	s
82	27.25	0.625	0.455	200	0	b	u	g	aa	v	t	f	0	t	g
83	37.17	4.0	5.0	280	0	b	u	g	c	bb	t	f	0	t	s
84	25.67	2.21	4.0	188	0	b	y	p	aa	v	t	f	0	f	g
85	34.0	4.5	1.0	240	0	b	u	g	aa	v	t	f	0	t	g
86	49.0	1.5	0.0	100	27	a	u	g	j	j	t	f	0	t	g
87	62.5	12.75	5.0	112	0	b	y	p	c	h	t	f	0	f	g
88	31.42	15.5	0.5	120	0	b	u	g	c	v	t	f	0	f	g
89	52.33	1.375	9.46	200	100	b	y	p	c	h	t	f	0	t	g
90	28.75	1.5	1.5	0	225	b	y	p	c	v	t	f	0	t	g
91	28.58	3.54	0.5	171	0	a	u	g	i	bb	t	f	0	t	g
92	23.0	0.625	0.125	180	1	b	y	p	aa	v	t	f	0	f	g
93	22.5	11.0	3.0	268	0	a	y	p	q	v	t	f	0	t	g
94	28.5	1.0	1.0	167	500	a	u	g	q	v	t	t	2	t	g
95	37.5	1.75	0.25	164	400	b	y	p	c	bb	t	f	0	t	g
96	35.25	16.5	4.0	80	0	b	y	p	c	v	t	f	0	f	g
97	18.67	5.0	0.375	0	38	b	u	g	q	v	t	t	2	f	g
98	25.0	12.0	2.25	120	5	b	u	g	k	v	t	t	2	t	g
99	27.83	4.0	5.75	75	0	b	y	p	i	h	t	t	2	t	g
100	54.83	15.5	0.0	152	130	b	u	g	e	z	t	t	20	f	g
101	28.75	1.165	0.5	280	0	b	u	g	k	v	t	f	0	f	s
102	25.0	11.0	4.5	120	0	a	y	p	aa	v	t	f	0	f	g
103	40.92	2.25	10.0	176	0	b	y	p	x	h	t	f	0	t	g
104	19.75	0.75	0.795	140	5	a	u	g	c	v	t	t	5	t	g
105	29.17	3.5	3.5	329	0	b	u	g	w	v	t	t	3	t	g
106	24.5	1.04	0.5	180	147	a	y	p	ff	ff	t	t	3	f	g
107	24.58	12.5	0.875	260	0	b	u	g	w	v	t	f	0	t	g
108	33.75	0.75	1.0	212	0	a	u	g	k	bb	t	t	3	t	g
109	20.67	1.25	1.375	140	210	b	y	p	c	h	t	t	3	t	g
110	25.42	1.125	1.29	200	0	a	u	g	q	v	t	t	2	f	g
111	37.75	7.0	11.5	300	5	b	u	g	q	h	t	t	7	t	g
112	52.5	6.5	6.29	0	11202	b	u	g	k	v	t	t	15	f	g
113	57.83	7.04	14.0	360	1332	b	u	g	m	v	t	t	6	t	g
114	20.75	10.335	0.335	80	50	a	u	g	cc	h	t	t	1	t	g
115	39.92	6.21	0.04	200	300	b	u	g	q	v	t	t	1	f	g
116	25.67	12.5	1.21	140	258	b	u	g	cc	v	t	t	67	t	g
117	24.75	12.5	1.5	120	567	a	u	g	aa	v	t	t	12	t	g
118	44.17	6.665	7.375	0	0	a	u	g	q	v	t	t	3	t	g
119	23.5	9.0	8.5	120	0	a	u	g	q	v	t	t	5	t	g
120	34.92	5.0	7.5	0	1000	b	u	g	x	h	t	t	6	t	g
121	47.67	2.5	2.5	410	2510	b	u	g	m	bb	t	t	12	t	g
122	22.75	11.0	2.5	100	809	b	u	g	q	v	t	t	7	t	g
123	34.42	4.25	3.25	274	610	b	u	g	i	bb	t	t	2	f	g
124	28.42	3.5	0.835	280	0	a	u	g	w	v	t	f	0	f	s
125	67.75	5.5	13.0	0	0	b	u	g	e	z	t	t	1	t	g
126	20.42	1.835	2.25	100	150	b	u	g	c	v	t	t	1	f	g
127	47.42	8.0	6.5	375	51100	a	u	g	e	bb	t	t	6	f	g
128	36.25	5.0	2.5	0	367	b	u	g	c	bb	t	t	6	f	g
129	32.67	5.5	5.5	408	1000	b	u	g	q	h	t	t	12	t	g
130	48.58	6.5	6.0	350	0	b	u	g	q	h	t	f	0	t	g
131	39.92	0.54	0.5	200	1000	b	y	p	aa	v	t	t	3	f	g
132	33.58	2.75	4.25	204	0	b	u	g	m	v	t	t	6	f	g
133	18.83	9.5	1.625	40	600	a	u	g	w	v	t	t	6	t	g
134	26.92	13.5	5.0	0	5000	a	u	g	q	h	t	t	2	f	g
135	31.25	3.75	0.625	181	0	a	u	g	cc	h	t	t	9	t	g
136	56.5	16.0	0.0	0	247	a	u	g	j	ff	t	t	15	f	g
137	43.0	0.29	1.75	100	375	b	y	p	cc	h	t	t	8	f	g
138	22.33	11.0	2.0	80	278	b	u	g	w	v	t	t	1	f	g
139	27.25	1.665	5.085	399	827	b	u	g	cc	h	t	t	9	f	g
140	32.83	2.5	2.75	160	2072	b	u	g	cc	h	t	t	6	f	g
141	23.25	1.5	2.375	0	582	b	u	g	q	v	t	t	3	t	g
142	40.33	7.54	8.0	0	2300	a	y	p	q	h	t	t	14	f	g
143	30.5	6.5	4.0	0	3065	a	u	g	c	bb	t	t	7	t	g
144	52.83	15.0	5.5	0	2200	a	u	g	c	v	t	t	14	f	g
145	46.67	0.46	0.415	440	6	a	u	g	cc	h	t	t	11	t	g
146	58.33	10.0	4.0	0	1602	a	u	g	q	v	t	t	14	f	g
147	37.33	6.5	4.25	93	0	b	u	g	m	h	t	t	12	t	g
148	23.08	2.5	1.085	60	2184	b	u	g	c	v	t	t	11	t	g
149	32.75	1.5	5.5	0	0	b	u	g	cc	h	t	t	3	t	g
150	21.67	11.5	0.0	0	0	a	y	p	j	j	t	t	11	t	g
151	28.5	3.04	2.54	70	0	a	y	p	x	h	t	t	1	f	g
152	68.67	15.0	0.0	0	3376	a	u	g	e	z	t	t	14	f	g
153	28.0	2.0	4.165	181	0	b	u	g	k	h	t	t	2	t	g
154	34.08	0.08	0.04	280	2000	b	y	p	m	bb	t	t	1	t	g
155	27.67	2.0	1.0	140	7544	b	u	g	x	h	t	t	4	f	g
156	44.0	2.0	1.75	0	15	b	u	g	m	v	t	t	2	t	g
157	25.08	1.71	1.665	395	20	b	u	g	x	v	t	t	1	t	g
158	32.0	1.75	0.04	393	0	b	y	p	e	h	t	f	0	t	g
159	60.58	16.5	11.0	21	10561	a	u	g	q	v	t	f	0	t	g
160	40.83	10.0	1.75	29	837	a	u	g	q	h	t	f	0	f	g
161	19.33	9.5	1.0	60	400	b	u	g	q	v	t	f	0	t	g
162	32.33	0.54	0.04	440	11177	a	u	g	cc	v	t	f	0	f	g
163	36.67	3.25	9.0	102	639	b	u	g	q	h	t	f	0	t	g
164	37.5	1.125	1.5	431	0	b	y	p	d	v	f	f	0	t	g
165	25.08	2.54	0.25	370	0	a	y	p	aa	v	t	f	0	t	g
166	41.33	0.0	15.0	0	0	b	u	g	c	bb	t	f	0	f	g
167	56.0	12.5	8.0	24	2028	b	u	g	k	h	t	f	0	t	g
168	49.83	13.585	8.5	0	0	a	u	g	k	h	t	f	0	t	g
169	22.67	10.5	1.335	100	0	b	u	g	q	h	t	f	0	f	g
170	27.0	1.5	0.375	260	1065	b	y	p	w	v	t	f	0	t	g
171	25.0	12.5	3.0	20	0	b	u	g	aa	v	t	f	0	t	s
172	26.08	8.665	1.415	160	150	a	u	g	aa	v	t	f	0	f	g
173	18.42	9.25	1.21	60	540	a	u	g	q	v	t	t	4	f	g
174	20.17	8.17	1.96	60	158	b	u	g	aa	v	t	t	14	f	g
175	47.67	0.29	15.0	0	15000	b	u	g	c	bb	t	t	20	f	g
176	21.25	2.335	0.5	80	0	a	u	g	i	bb	t	t	4	f	s
177	20.67	3.0	0.165	100	6	a	u	g	q	v	t	t	3	f	g
178	57.08	19.5	5.5	0	3000	a	u	g	c	v	t	t	7	f	g
179	22.42	5.665	2.585	129	3257	a	u	g	q	v	t	t	7	f	g
180	48.75	8.5	12.5	181	1655	b	u	g	c	h	t	t	9	f	g
181	40.0	6.5	3.5	0	500	b	u	g	aa	bb	t	t	1	f	g
182	40.58	5.0	5.0	0	3065	b	u	g	c	v	t	t	7	f	g
183	28.67	1.04	2.5	300	1430	a	u	g	c	v	t	t	5	t	g
184	33.08	4.625	1.625	0	0	a	u	g	q	h	t	t	2	f	g
185	21.33	10.5	3.0	0	0	b	u	g	c	v	t	f	0	t	g
186	42.0	0.205	5.125	400	0	b	u	g	i	h	t	f	0	f	g
187	41.75	0.96	2.5	510	600	b	u	g	x	v	t	f	0	f	g
188	22.67	1.585	3.085	80	0	b	y	p	w	v	t	t	6	f	g
189	34.5	4.04	8.5	195	0	b	y	p	i	bb	t	t	7	t	g
190	28.25	5.04	1.5	144	7	b	y	p	c	bb	t	t	8	t	g
191	33.17	3.165	3.165	380	0	b	y	p	x	v	t	t	3	t	g
192	48.17	7.625	15.5	0	790	b	u	g	w	h	t	t	12	f	g
193	27.58	2.04	2.0	370	560	b	y	p	aa	v	t	t	3	t	g
194	22.58	10.04	0.04	60	396	b	u	g	x	v	t	t	9	f	g
195	24.08	0.5	1.25	0	678	a	u	g	q	h	t	t	1	f	g
196	41.33	1.0	2.25	0	300	a	u	g	i	bb	t	f	0	t	g
197	20.75	10.25	0.71	49	0	a	u	g	q	v	t	t	2	t	g
198	36.33	2.125	0.085	50	1187	b	y	p	w	v	t	t	1	f	g
199	35.42	12.0	14.0	0	6590	a	u	g	q	h	t	t	8	f	g
200	28.67	9.335	5.665	381	168	b	u	g	q	h	t	t	6	f	g
201	35.17	2.5	4.5	150	1270	b	u	g	k	v	t	t	7	f	g
202	39.5	4.25	6.5	117	1210	b	u	g	c	bb	t	t	16	f	g
203	39.33	5.875	10.0	399	0	b	u	g	cc	h	t	t	14	t	g
204	24.33	6.625	5.5	100	0	b	y	p	d	v	t	f	0	t	s
205	60.08	14.5	18.0	0	1000	b	u	g	ff	ff	t	t	15	t	g
206	23.08	11.5	3.5	56	742	b	u	g	i	v	t	t	9	f	g
207	26.67	2.71	5.25	211	0	b	y	p	cc	v	t	t	1	f	g
208	48.17	3.5	3.5	230	0	b	u	g	aa	v	t	f	0	f	s
209	41.17	4.04	7.0	320	0	b	u	g	cc	h	t	t	8	f	g
210	55.92	11.5	5.0	0	8851	b	u	g	ff	ff	t	t	5	f	g
211	53.92	9.625	8.665	0	0	b	u	g	e	v	t	t	5	f	g
212	18.92	9.25	1.0	80	500	a	y	p	c	v	t	t	4	t	g
213	50.08	12.54	2.29	156	0	a	u	g	aa	v	t	t	3	t	g
214	65.42	11.0	20.0	22	0	b	u	g	e	z	t	t	7	t	g
215	17.58	9.0	1.375	0	0	a	u	g	aa	v	t	f	0	t	g
216	18.83	9.54	0.085	100	0	a	u	g	aa	v	t	f	0	f	g
217	37.75	5.5	0.125	228	0	a	u	g	q	v	t	f	0	t	g
218	23.25	4.0	0.25	160	0	b	u	g	c	bb	t	f	0	t	g
219	18.08	5.5	0.5	80	0	b	u	g	k	v	t	f	0	f	g
220	22.5	8.46	2.46	164	0	a	y	p	x	v	f	f	0	f	g
221	19.67	0.375	2.0	80	0	b	u	g	q	v	t	t	2	t	g
222	22.08	11.0	0.665	100	0	b	u	g	cc	v	t	f	0	f	g
223	25.17	3.5	0.625	0	7059	b	u	g	cc	v	t	t	7	f	g
224	47.42	3.0	13.875	519	1704	a	u	g	x	v	t	t	2	t	g
225	33.5	1.75	4.5	253	857	b	u	g	x	h	t	t	4	t	g
226	27.67	13.75	5.75	487	500	b	u	g	w	v	t	f	0	t	g
227	58.42	21.0	10.0	0	6700	a	u	g	i	bb	t	t	13	f	g
228	20.67	1.835	2.085	220	2503	a	u	g	q	v	t	t	5	f	g
229	26.17	0.25	0.0	0	0	b	u	g	i	bb	t	f	0	t	g
230	21.33	7.5	1.415	80	9800	b	u	g	aa	v	t	t	1	f	g
231	42.83	4.625	4.58	0	0	b	u	g	q	v	t	f	0	f	s
232	38.17	10.125	2.5	520	196	b	u	g	x	v	t	t	6	f	g
233	20.5	10.0	2.5	40	0	b	y	p	c	v	t	f	0	f	s
234	48.25	25.085	1.75	120	14	b	u	g	w	v	t	t	3	f	g
235	28.33	5.0	11.0	70	0	b	u	g	w	v	t	f	0	t	g
236	18.5	2.0	1.5	120	300	b	u	g	i	v	t	t	2	f	g
237	33.17	3.04	2.04	180	18027	b	y	p	c	h	t	t	1	t	g
238	45.0	8.5	14.0	88	2000	b	u	g	cc	h	t	t	1	t	g
239	19.67	0.21	0.29	80	99	a	u	g	q	h	t	t	11	f	g
240	21.83	11.0	0.29	121	0	b	u	g	x	v	t	t	6	f	g
241	40.25	21.5	20.0	0	1200	b	u	g	e	z	t	t	11	f	g
242	41.42	5.0	5.0	470	0	b	u	g	q	h	t	t	6	t	g
243	17.83	11.0	1.0	0	3000	a	u	g	x	h	t	t	11	f	g
244	23.17	11.125	0.46	100	0	b	u	g	x	h	t	t	1	f	g
245	18.17	10.25	1.085	320	13	b	u	g	c	h	f	f	0	f	g
246	20.0	11.045	2.0	136	0	b	u	g	c	v	f	f	0	t	g
247	20.0	0.0	0.5	144	0	b	u	g	d	v	f	f	0	f	g
248	20.75	9.54	0.04	200	1000	a	u	g	i	v	f	f	0	f	g
249	24.5	1.75	0.165	132	0	a	y	p	c	v	f	f	0	f	g
250	32.75	2.335	5.75	292	0	b	u	g	d	h	f	f	0	t	g
251	52.17	0.0	0.0	0	0	a	y	p	ff	ff	f	f	0	f	g
252	48.17	1.335	0.335	0	120	a	u	g	i	o	f	f	0	f	g
253	20.42	10.5	0.0	154	32	a	y	p	x	h	f	f	0	t	g
254	50.75	0.585	0.0	145	0	b	u	g	ff	ff	f	f	0	f	g
255	17.08	0.085	0.04	140	722	b	y	p	c	v	f	f	0	f	g
256	18.33	1.21	0.0	100	0	b	y	p	e	dd	f	f	0	f	g
257	32.0	6.0	1.25	272	0	a	u	g	d	v	f	f	0	f	g
258	59.67	1.54	0.125	260	0	b	u	g	q	v	t	f	0	t	g
259	18.0	0.165	0.21	200	40	b	u	g	q	n	f	f	0	f	g
260	32.33	2.5	1.25	280	0	b	u	g	c	v	f	f	0	t	g
261	18.08	6.75	0.04	140	0	b	y	p	m	v	f	f	0	f	g
262	38.25	10.125	0.125	160	0	b	y	p	k	v	f	f	0	f	g
263	30.67	2.5	2.25	340	0	b	u	g	cc	h	f	f	0	t	s
264	18.58	5.71	0.54	120	0	b	u	g	d	v	f	f	0	f	g
265	19.17	5.415	0.29	80	484	a	u	g	i	h	f	f	0	f	g
266	18.17	10.0	0.165	340	0	a	y	p	q	h	f	f	0	f	g
267	16.25	0.835	0.085	200	0	b	u	g	m	v	t	f	0	f	s
268	21.17	0.875	0.25	280	204	b	y	p	c	h	f	f	0	f	g
269	23.92	0.585	0.125	240	1	b	y	p	cc	h	f	f	0	f	g
270	17.67	4.46	0.25	80	0	b	u	g	c	v	f	f	0	f	s
271	16.5	1.25	0.25	108	98	a	u	g	q	v	f	t	1	f	g
272	23.25	12.625	0.125	0	5552	b	u	g	c	v	f	t	2	f	g
273	17.58	10.0	0.165	120	1	b	u	g	w	h	f	t	1	f	g
274	29.5	0.58	0.29	340	2803	b	u	g	w	v	f	t	1	f	g
275	18.83	0.415	0.165	200	1	b	y	p	c	v	f	t	1	f	g
276	21.75	1.75	0.0	160	0	a	y	p	j	j	f	f	0	f	g
277	23.0	0.75	0.5	320	0	b	u	g	m	v	f	f	0	t	s
278	18.25	10.0	1.0	120	1	a	u	g	w	v	f	t	1	f	g
279	25.42	0.54	0.165	272	444	b	u	g	w	v	f	t	1	f	g
280	35.75	2.415	0.125	220	1	b	u	g	w	v	f	t	2	f	g
281	16.08	0.335	0.0	160	126	a	u	g	ff	ff	f	t	1	f	g
282	31.92	3.125	3.04	200	4	a	u	g	ff	ff	f	t	2	t	g
283	69.17	9.0	4.0	70	6	b	u	g	ff	ff	f	t	1	f	g
284	32.92	2.5	1.75	720	0	b	u	g	aa	v	f	t	2	t	g
285	16.33	2.75	0.665	80	21	b	u	g	aa	v	f	t	1	f	g
286	22.17	12.125	3.335	180	173	b	u	g	c	v	f	t	2	t	g
287	57.58	2.0	6.5	0	10	a	u	g	ff	ff	f	t	1	f	g
288	18.25	0.165	0.25	280	0	b	u	g	d	v	f	f	0	t	s
289	23.42	1.0	0.5	280	0	b	u	g	c	v	f	f	0	t	s
290	15.92	2.875	0.085	120	0	a	u	g	q	v	f	f	0	f	g
291	24.75	13.665	1.5	280	1	a	u	g	q	h	f	f	0	f	g
292	48.75	26.335	0.0	0	0	b	y	p	ff	ff	t	f	0	t	g
293	23.5	2.75	4.5	160	25	b	u	g	ff	ff	f	f	0	f	g
294	18.58	10.29	0.415	80	0	b	u	g	ff	ff	f	f	0	f	g
295	27.75	1.29	0.25	140	0	b	u	g	k	h	f	f	0	t	s
296	31.75	3.0	0.0	160	20	a	y	p	j	j	f	f	0	f	g
297	24.83	4.5	1.0	360	6	a	u	g	w	v	f	f	0	t	g
298	19.0	1.75	2.335	112	6	b	y	p	c	v	f	f	0	t	g
299	16.33	0.21	0.125	200	1	a	u	g	aa	v	f	f	0	f	g
300	18.58	10.0	0.415	80	42	a	u	g	d	v	f	f	0	f	g
301	16.25	0.0	0.25	60	0	b	y	p	aa	v	f	f	0	f	g
302	23.0	0.75	0.5	320	0	b	u	g	m	v	t	f	0	t	s
303	21.17	0.25	0.25	280	204	b	y	p	c	h	f	f	0	f	g
304	17.5	22.0	0.0	450	100000	b	l	gg	ff	o	f	f	0	t	p
305	19.17	0.0	0.0	500	1	b	y	p	m	bb	f	f	0	t	s
306	36.75	0.125	1.5	232	113	b	y	p	c	v	f	f	0	t	g
307	21.25	1.5	1.5	150	8	b	u	g	w	v	f	f	0	f	g
308	18.08	0.375	10.0	300	0	a	l	gg	cc	ff	f	f	0	t	s
309	33.67	0.375	0.375	300	44	a	u	g	cc	v	f	f	0	f	g
310	48.58	0.205	0.25	380	2732	b	y	p	k	v	t	t	11	f	g
311	33.67	1.25	1.165	120	0	b	u	g	w	v	f	f	0	f	g
312	29.5	1.085	1.0	280	13	a	y	p	x	v	f	f	0	f	g
313	30.17	1.085	0.04	170	179	b	y	p	c	v	f	f	0	f	g
314	34.83	2.5	3.0	200	0	b	y	p	w	v	f	f	0	f	s
315	33.25	2.5	2.5	0	2	a	y	p	c	v	f	f	0	t	g
316	34.08	2.5	1.0	460	16	b	u	g	c	v	f	f	0	f	g
317	25.25	12.5	1.0	180	1062	a	u	g	d	v	f	f	0	t	g
318	34.75	2.5	0.5	348	0	b	u	g	cc	bb	f	f	0	f	g
319	27.67	0.75	0.165	220	251	b	u	g	q	h	f	f	0	t	g
320	47.33	6.5	1.0	0	228	b	u	g	c	v	f	f	0	t	g
321	34.83	1.25	0.5	160	0	a	y	p	i	h	f	f	0	t	g
322	33.25	3.0	2.0	180	0	a	y	p	aa	v	f	f	0	f	g
323	28.0	3.0	0.75	300	67	b	u	g	w	v	f	f	0	t	g
324	39.08	4.0	3.0	480	0	a	u	g	c	v	f	f	0	f	g
325	42.75	4.085	0.04	108	100	b	u	g	aa	v	f	f	0	f	g
326	26.92	2.25	0.5	640	4000	b	u	g	i	bb	f	f	0	t	g
327	33.75	2.75	0.0	180	0	b	u	g	i	bb	f	f	0	f	g
328	38.92	1.75	0.5	300	2	b	u	g	k	v	f	f	0	t	g
329	62.75	7.0	0.0	0	12	b	u	g	e	z	f	f	0	f	g
330	26.75	4.5	2.5	200	1210	b	y	p	c	bb	f	f	0	f	g
331	63.33	0.54	0.585	180	0	b	u	g	c	v	t	t	3	t	g
332	27.83	1.5	2.25	100	3	b	u	g	w	v	f	t	1	t	g
333	26.17	2.0	0.0	276	1	a	u	g	j	j	f	f	0	t	g
334	22.17	0.585	0.0	100	0	b	y	p	ff	ff	f	f	0	f	g
335	22.5	11.5	1.5	0	4000	b	y	p	m	v	f	f	0	t	g
336	30.75	1.585	0.585	0	0	b	u	g	d	v	f	f	0	t	s
337	36.67	2.0	0.25	221	0	b	u	g	i	v	f	f	0	t	g
338	16.0	0.165	1.0	320	1	a	u	g	aa	v	f	t	2	t	g
339	41.17	1.335	0.165	168	0	b	u	g	d	v	f	f	0	f	g
340	19.5	0.165	0.04	380	0	a	u	g	q	v	f	f	0	t	g
341	32.42	3.0	0.165	120	0	b	u	g	d	v	f	f	0	t	g
342	36.75	4.71	0.0	160	0	a	u	g	ff	ff	f	f	0	f	g
343	30.25	5.5	5.5	100	0	a	u	g	k	v	f	f	0	t	s
344	23.08	2.5	0.085	100	4208	b	u	g	ff	ff	f	f	0	t	g
345	26.83	0.54	0.0	100	0	b	u	g	k	ff	f	f	0	f	g
346	16.92	0.335	0.29	200	0	b	y	p	k	v	f	f	0	f	s
347	24.42	2.0	0.165	320	1300	b	u	g	e	dd	f	t	2	f	g
348	42.83	1.25	13.875	352	112	b	u	g	m	v	f	t	1	t	g
349	22.75	6.165	0.165	220	1000	a	u	g	aa	v	f	f	0	f	g
350	39.42	1.71	0.165	400	0	b	y	p	m	v	f	f	0	f	s
351	23.58	11.5	3.0	20	16	a	y	p	k	h	f	f	0	t	g
352	21.42	0.75	0.75	132	2	b	y	p	r	n	f	f	0	t	g
353	33.0	2.5	7.0	280	0	b	y	p	w	v	f	f	0	t	g
354	26.33	13.0	0.0	140	1110	b	u	g	e	dd	f	f	0	t	g
355	45.0	4.585	1.0	240	0	a	u	g	k	h	f	f	0	t	s
356	26.25	1.54	0.125	100	0	b	u	g	w	v	f	f	0	f	g
357	20.83	0.5	1.0	260	0	a	y	p	e	dd	f	f	0	f	g
358	28.67	14.5	0.125	0	286	b	u	g	d	v	f	f	0	f	g
359	20.67	0.835	2.0	240	0	b	y	p	c	v	f	f	0	t	s
